,ihs_match,PRODUCT,ROUTE,TECHNOLOGY,LICENSOR
18,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",ACETYLENE,REPPE,LINDE
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",ACETYLENE,REPPE,LINDE
18,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",ACETYLENE,REPPE,n.a.
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",ACETYLENE,REPPE,n.a.
18,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",ACETYLENE,n.a.,n.a.
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",ACETYLENE,n.a.,n.a.
18,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
16,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
14,"1,4-BUTANEDIOL FROM BUTANE VIA MALEIC ACID HYDROGENATION","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
15,"1,4-BUTANEDIOL FROM GLUCOSE (DIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
13,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
12,"BIO-BASED 1,4-BUTANEDIOL VIA SUCCINIC ACID ROUTE (INDIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
18,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
16,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
14,"1,4-BUTANEDIOL FROM BUTANE VIA MALEIC ACID HYDROGENATION","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
15,"1,4-BUTANEDIOL FROM GLUCOSE (DIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
13,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
12,"BIO-BASED 1,4-BUTANEDIOL VIA SUCCINIC ACID ROUTE (INDIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
16,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BUTADIENE,BDACETIC,MITSUBISHI
16,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BUTADIENE,BDACETIC,n.a.
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,GEMINOX,BP/LURGI
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,GEMINOX,n.a.
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,BASF
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,DUPONT
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,KVAERNER PROCESS TECH
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,SINO
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,n.a.
19,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,n.a.,n.a.
13,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE,PROPYLENE ACETOXYLATION,KURRARAY
13,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE OXIDE,VIA ALLYL ALCOHOL,KURRARAY
13,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE OXIDE,VIA ALLYL ALCOHOL,n.a.
13,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE OXIDE,n.a.,n.a.
33,2-ETHYLHEXANOL BY HYDROFORMYLATION FOLLOWED BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
35,"2-ETHYLHEXANOL FROM PROPYLENE, COBALT HYDROCARBONYL CATALYST",2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
36,"2-ETHYLHEXANOL FROM PROPYLENE, COBALT PHOSPHINE CATALYST",2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
37,"2-ETHYLHEXANOL FROM PROPYLENE, RHODIUM CATALYST",2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,BASF
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,BASF
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,EASTMAN CHEMICAL
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,EASTMAN CHEMICAL
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,HOECHST
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,HOECHST
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,MITSUBISHI
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,MITSUBISHI
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,SHELL
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,SHELL
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,UN. CARBIDE/DAVY MCKEE/J.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,UN. CARBIDE/DAVY MCKEE/J.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,n.a.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,n.a.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,n.a.,n.a.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,n.a.,n.a.
72,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
73,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
74,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
75,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
76,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
77,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
66,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
67,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
68,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
69,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
70,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
71,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
138,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
139,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
140,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
141,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
142,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
143,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
54,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
55,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
56,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
57,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
58,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
59,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
78,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
79,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
80,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
81,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
82,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
83,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
204,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
205,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
206,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
207,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
208,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
209,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
90,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
91,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
92,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
93,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
94,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
95,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
30,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BASF
31,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BASF
32,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,BASF
33,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,BASF
34,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BASF
35,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,BASF
120,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BAYER
121,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BAYER
122,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,BAYER
123,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,BAYER
124,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BAYER
125,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,BAYER
12,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
13,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
14,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,BORG WARNER
15,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,BORG WARNER
16,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
17,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
114,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
115,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
116,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
117,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
118,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
119,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
156,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
157,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
158,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,ENICHEM
159,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,ENICHEM
160,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
161,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
210,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
211,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
212,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
213,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
214,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
215,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
144,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,KUMHO
145,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,KUMHO
146,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,KUMHO
147,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,KUMHO
148,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,KUMHO
149,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,KUMHO
60,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,SABIC
61,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,SABIC
62,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,SABIC
63,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,SABIC
64,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,SABIC
65,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,SABIC
162,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
163,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
164,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,UNIROYAL
165,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,UNIROYAL
166,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
167,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
36,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,n.a.
37,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,n.a.
38,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,n.a.
39,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,n.a.
40,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,n.a.
41,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,n.a.
228,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
229,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
230,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
231,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
232,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
233,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
216,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
217,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
218,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
219,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
220,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
221,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
168,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
169,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
170,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
171,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
172,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
173,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
222,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
223,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
224,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,BASF
225,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,BASF
226,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
227,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
48,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
49,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
50,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
51,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
52,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
53,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
150,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
151,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
152,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
153,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
154,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
155,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
102,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHI MEI
103,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHI MEI
104,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,CHI MEI
